# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.1.0 Build 162 10/23/2013 SJ Web Edition
# File: C:\Users\ttkav\Downloads\FPGADe1soc\SPIMASTER.csv
# Generated on: Mon Sep 25 13:56:52 2023

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage
BTN_MENU_ACTION,Input,PIN_AC9,3A,B3A_N0,PIN_AK23,,,,,,,,,,,,,
BTN_MENU_MODE,Input,PIN_AD10,3A,B3A_N0,PIN_AJ25,,,,,,,,,,,,,
BTN_RST,Input,PIN_AE12,3A,B3A_N0,PIN_AE19,,,,,,,,,,,,,
CLK,Input,PIN_AF14,3B,B3B_N0,PIN_AB27,,,,,,,,,,,,,
key_m_data[3],Input,PIN_AF10,3A,B3A_N0,PIN_AG22,,,,,,,,,,,,,
key_m_data[2],Input,PIN_AF9,3A,B3A_N0,PIN_AK22,,,,,,,,,,,,,
key_m_data[1],Input,PIN_AC12,3A,B3A_N0,PIN_AA18,,,,,,,,,,,,,
key_m_data[0],Input,PIN_AB12,3A,B3A_N0,PIN_Y18,,,,,,,,,,,,,
key_s_data[3],Input,,,,PIN_AJ19,,,,,,,,,,,,,
key_s_data[2],Input,,,,PIN_AK19,,,,,,,,,,,,,
key_s_data[1],Input,,,,PIN_AJ17,,,,,,,,,,,,,
key_s_data[0],Input,,,,PIN_AK18,,,,,,,,,,,,,
M_CS_N,Output,PIN_AC18,4A,B4A_N0,PIN_W16,,,,,,,,,,,,,
